measurement_basis,hypothesis,model_id,included_time_fe,time_fe_count,dependent_variable,key_variable,beta1_intensity,beta2_intensity_squared,beta1_p_value,beta2_p_value,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,n_firm_dummy_variables,n_time_dummy_variables,reference_company_id,reference_company_identifier,r_squared,adj_r_squared,df_model,df_resid,rank,turning_point,turning_point_in_observed_range,intensity_min,intensity_max,panel_unit,time_period_unit,firm_dummy_included,time_fe_included,controls_included,company_id_used_as_numeric,c_company_formula_used,status,interpretation_level,note,limitation,n_joint_fe_cells,n_singleton_cells,beta2_stars,inverted_u_check
batch1_human_coded,H3,firm_dummy_year,year,1,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,88,88,87,,,,,,,,,,,,,firm_cross_section,none,true,true,false,false,false,not_applicable,not_applicable,firm cross-section: n_firms-1=87 dummies + time FE with n=88 → rank deficient,,,,,
full_sample_predicted,H3,firm_dummy_year,year,1,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,-0.965049,1.483701,0.0,0.0,-0.965049,0.186159,-5.184,0.0,***,3532,97,96,333,45,Home Depot,0.874283,0.856758,433,3099,2,0.3252,True,0.0,1.0,firm_month_period,year_month,true,true,false,false,false,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE_leakage_in_intensity,430,27,***,b1<0_b2>0
batch1_human_coded,H3,firm_dummy_month,month,1,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,88,88,87,,,,,,,,,,,,,firm_cross_section,none,true,true,false,false,false,not_applicable,not_applicable,firm cross-section: n_firms-1=87 dummies + time FE with n=88 → rank deficient,,,,,
full_sample_predicted,H3,firm_dummy_month,month,1,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,firm_month_period,year_month,true,true,false,false,false,error: insufficient df: n=3532 k_eff=3532 df_resid=0,error,,classifier_NOT_A_CANDIDATE_leakage_in_intensity,,,,
batch1_human_coded,H3,firm_dummy_week,week,1,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,88,88,87,,,,,,,,,,,,,firm_cross_section,none,true,true,false,false,false,not_applicable,not_applicable,firm cross-section: n_firms-1=87 dummies + time FE with n=88 → rank deficient,,,,,
full_sample_predicted,H3,firm_dummy_week,week,1,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,firm_month_period,year_month,true,true,false,false,false,unavailable,unavailable,week/day/hour not in firm-month panel,classifier_NOT_A_CANDIDATE_leakage_in_intensity,,,,
batch1_human_coded,H3,firm_dummy_day,day,1,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,88,88,87,,,,,,,,,,,,,firm_cross_section,none,true,true,false,false,false,not_applicable,not_applicable,firm cross-section: n_firms-1=87 dummies + time FE with n=88 → rank deficient,,,,,
full_sample_predicted,H3,firm_dummy_day,day,1,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,firm_month_period,year_month,true,true,false,false,false,unavailable,unavailable,week/day/hour not in firm-month panel,classifier_NOT_A_CANDIDATE_leakage_in_intensity,,,,
batch1_human_coded,H3,firm_dummy_hour,hour,1,firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,88,88,87,,,,,,,,,,,,,firm_cross_section,none,true,true,false,false,false,not_applicable,not_applicable,firm cross-section: n_firms-1=87 dummies + time FE with n=88 → rank deficient,,,,,
full_sample_predicted,H3,firm_dummy_hour,hour,1,firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,firm_month_period,year_month,true,true,false,false,false,unavailable,unavailable,week/day/hour not in firm-month panel,classifier_NOT_A_CANDIDATE_leakage_in_intensity,,,,
