measurement_basis,hypothesis,model_id,included_time_fe,time_fe_count,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,n_firm_dummy_variables,n_time_dummy_variables,reference_company_id,reference_company_identifier,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,n_aggressive_batch1,limitation,firm_dummy_included,time_fe_included,controls_included,company_id_used_as_numeric,c_company_formula_used,n_joint_fe_cells,n_singleton_cells,n_within_obs
batch1_human_coded,H2_1,firm_dummy_month_hour,"month,hour",2,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_month_hour,"month,hour",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_week_day,"week,day",2,log1p_total_engagement,aggressive_vs_other,0.530817,0.984828,0.539,0.593119,ns,648,88,87,521,97,Walt Disney,0.983618,0.713537,611,37,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,609,582,66
full_sample_predicted,H2_1,firm_dummy_week_day,"week,day",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.116228,0.02726,-4.2637,2e-05,***,28177,97,96,18999,45,Home Depot,0.917059,0.742598,19098,9079,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,19096,14263,13914
batch1_human_coded,H2_1,firm_dummy_week_hour,"week,hour",2,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_week_hour,"week,hour",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_day_hour,"day,hour",2,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_day_hour,"day,hour",2,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_year_month_week,"year,month,week",3,log1p_total_engagement,aggressive_vs_other,0.089974,0.692819,0.1299,0.897015,ns,648,88,87,482,97,Walt Disney,0.972458,0.765532,572,76,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,570,518,130
full_sample_predicted,H2_1,firm_dummy_year_month_week,"year,month,week",3,log1p_total_engagement,predicted_aggressive_vs_other,-0.095305,0.018776,-5.076,0.0,***,28177,97,96,9500,45,Home Depot,0.837122,0.752974,9599,18578,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,9597,3731,24446
batch1_human_coded,H2_1,firm_dummy_year_month_day,"year,month,day",3,log1p_total_engagement,aggressive_vs_other,0.530817,0.984828,0.539,0.593119,ns,648,88,87,521,97,Walt Disney,0.983618,0.713537,611,37,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,609,582,66
full_sample_predicted,H2_1,firm_dummy_year_month_day,"year,month,day",3,log1p_total_engagement,predicted_aggressive_vs_other,-0.116228,0.02726,-4.2637,2e-05,***,28177,97,96,18999,45,Home Depot,0.917059,0.742598,19098,9079,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,19096,14263,13914
batch1_human_coded,H2_1,firm_dummy_year_month_hour,"year,month,hour",3,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_year_month_hour,"year,month,hour",3,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_year_week_day,"year,week,day",3,log1p_total_engagement,aggressive_vs_other,0.530817,0.984828,0.539,0.593119,ns,648,88,87,521,97,Walt Disney,0.983618,0.713537,611,37,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,609,582,66
full_sample_predicted,H2_1,firm_dummy_year_week_day,"year,week,day",3,log1p_total_engagement,predicted_aggressive_vs_other,-0.116228,0.02726,-4.2637,2e-05,***,28177,97,96,18999,45,Home Depot,0.917059,0.742598,19098,9079,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,19096,14263,13914
batch1_human_coded,H2_1,firm_dummy_year_week_hour,"year,week,hour",3,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_year_week_hour,"year,week,hour",3,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
batch1_human_coded,H2_1,firm_dummy_year_day_hour,"year,day,hour",3,log1p_total_engagement,aggressive_vs_other,4.418841,1.735269,2.5465,0.043697,**,648,88,87,552,97,Walt Disney,0.998097,0.794761,642,6,1,success,preliminary_diagnostic,44,n_agg=44_low_power,true,true,false,false,false,640,632,16
full_sample_predicted,H2_1,firm_dummy_year_day_hour,"year,day,hour",3,log1p_total_engagement,predicted_aggressive_vs_other,-0.14478,0.037813,-3.8289,0.000131,***,28177,97,96,24458,45,Home Depot,0.973797,0.79605,24557,3620,1,success,preliminary_diagnostic,,classifier_NOT_A_CANDIDATE,true,true,false,false,false,24555,22324,5853
